province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2008.0,683.5705815788154,7490.799999999999,1124.6,4.0
10.0,2009.0,360.34677292749444,3864.2333333333336,561.9,5.0
10.0,2010.0,575.2420827758486,5723.166666666666,944.2666666666667,3.0
10.0,2011.0,487.14463492169045,5229.628947368421,811.75,1.0
10.0,2012.0,580.6436315632851,4546.33,1267.6399999999999,3.0
10.0,2013.0,605.07825456243,6579.15632183908,922.8,0.0
10.0,2014.0,97.22910629321947,533.7208046855108,173.34285714285716,3.0
10.0,2015.0,1676.261808372981,13078.203238866397,4575.925,3.0
10.0,2016.0,331.7438558587566,2095.37379610054,753.5333333333333,6.0
41.0,2008.0,130.31803405515294,1500.2000000000005,160.4,1.0
41.0,2009.0,122.32539521626249,1409.7666666666664,157.1,1.0
41.0,2010.0,111.38954876501688,1163.8333333333335,7.7333333333333485,0.0
41.0,2011.0,NaN,1911.371052631579,217.25,2.0
41.0,2012.0,NaN,1841.67,215.36,2.0
41.0,2013.0,NaN,1409.8436781609198,76.19999999999999,1.0
41.0,2014.0,NaN,2110.2791953144892,263.65714285714284,2.0
41.0,2015.0,NaN,2020.7967611336035,236.075,1.0
41.0,2016.0,179.19940431180166,2025.62620389946,240.46666666666664,0.0
50.0,2008.0,124.58179374745465,175.7999999999995,210.6,2.0
50.0,2009.0,89.97328049873309,1047.7666666666664,102.1,0.0
50.0,2010.0,216.92783853076497,133.16666666666652,543.2666666666667,1.0
50.0,2011.0,155.88967696938323,1779.371052631579,181.25,1.0
50.0,2012.0,143.66607767667358,1663.67,192.36,0.0
50.0,2013.0,175.69482393004915,409.1563218390802,369.8,1.0
50.0,2014.0,NaN,1970.2791953144892,231.65714285714284,1.0
50.0,2015.0,NaN,1573.7967611336035,155.075,0.0
50.0,2016.0,124.46219917831029,1330.62620389946,13.53333333333336,1.0
70.0,2008.0,62.41172432590958,604.2000000000005,27.400000000000006,0.0
70.0,2009.0,111.35302761604311,1248.7666666666664,142.1,2.0
70.0,2010.0,150.11163777767632,1657.8333333333335,179.73333333333335,2.0
70.0,2011.0,97.34492246377465,1093.371052631579,93.25,1.0
70.0,2012.0,143.29338857160624,1544.67,213.36,2.0
70.0,2013.0,154.55156948703808,1695.8436781609198,211.2,0.0
70.0,2014.0,155.036001654425,1753.2791953144892,213.65714285714284,3.0
70.0,2015.0,74.66533660647414,776.7967611336035,26.07499999999999,0.0
70.0,2016.0,180.308857880684,2001.62620389946,226.46666666666664,6.0
90.0,2008.0,29.838565649172885,107.2000000000005,11.400000000000006,1.0
90.0,2009.0,89.00169838163097,716.7666666666664,111.1,5.0
90.0,2010.0,221.52527675355864,1748.1666666666665,452.26666666666665,0.0
90.0,2011.0,138.9011644691354,1441.371052631579,142.25,6.0
90.0,2012.0,126.9652257181732,522.6700000000001,73.63999999999999,4.0
90.0,2013.0,244.62606479536666,1372.1563218390802,423.8,2.0
90.0,2014.0,97.66819131067582,1055.2791953144892,72.65714285714284,1.0
90.0,2015.0,85.6245643270616,849.7967611336035,78.07499999999999,3.0
90.0,2016.0,389.1279149622022,2244.37379610054,968.5333333333333,4.0
