province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2009.0,1315.975152072589,15684.748014601624,1512.0996407348844,4.0
10.0,2010.0,510.34070647785956,4912.7861356433405,852.5706401550318,3.0
10.0,2011.0,249.74745974580014,1656.4288395858403,401.5241615499406,2.0
10.0,2012.0,549.7381070840147,4376.366366185557,1216.9085518362112,3.0
10.0,2013.0,401.8519392098736,3933.986454418575,623.9827048816226,3.0
41.0,2009.0,17.767535106209714,151.3047590564523,25.150788207097904,0.0
41.0,2010.0,116.85809608884453,1118.4946821120275,246.34288036971785,0.0
41.0,2011.0,NaN,136.8723103662864,0.29895340803379966,2.0
41.0,2012.0,NaN,104.26173734431649,35.79312792423023,1.0
41.0,2013.0,NaN,105.83548134948376,118.40874449187844,0.0
50.0,2009.0,65.21547465874674,731.591037161455,85.93669492654524,1.0
50.0,2010.0,283.93427562048396,1794.6523920515608,738.7399651045963,1.0
50.0,2011.0,117.55736565006902,1352.3044947325138,144.44497357211793,2.0
50.0,2012.0,28.686829701368747,106.34320353121535,35.411379309464735,0.0
50.0,2013.0,191.31090712102227,731.3334857551029,382.94121277010106,1.0
70.0,2009.0,48.81573807324112,553.8414776535498,72.20625308113412,1.0
70.0,2010.0,21.347916506571213,23.22450909111751,30.615560644070243,3.0
70.0,2011.0,92.7524850688865,1000.8420307483882,125.98897925982217,2.0
70.0,2012.0,34.026650489582,357.3730365402839,40.30974580951475,3.0
70.0,2013.0,27.812424429387317,271.958197732209,42.214214552228185,1.0
90.0,2009.0,70.15563200805434,813.1685743756996,70.54614583774087,11.0
90.0,2010.0,416.1872688982936,4207.194037637125,702.1793080844677,6.0
90.0,2011.0,54.45360988968914,504.5103469670987,22.33228083006938,5.0
90.0,2012.0,177.5285949205211,1605.3394441535215,341.95308045204854,6.0
90.0,2013.0,222.48183823220242,293.6586951600184,389.91757328985307,2.0
