province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2014.0,31115.122088526346,373185.2746936456,29555.416968431593,1.0
10.0,2015.0,4261.3572258845725,48582.87835357337,1191.3011013866471,0.0
10.0,2016.0,2742.370506554908,32525.866292149127,2484.551284293266,8.0
41.0,2014.0,NaN,5754.412697245751,545.1272022684786,1.0
41.0,2015.0,NaN,11526.950198948163,904.010435737492,8.0
41.0,2016.0,289.8592811897189,3442.8470721901704,244.72216050093238,6.0
50.0,2014.0,NaN,4071.435198740329,230.51775665860885,2.0
50.0,2015.0,NaN,4179.125340917083,354.6067924883579,2.0
50.0,2016.0,1288.3646462430972,15424.562504205358,1388.91604025621,1.0
70.0,2014.0,63.966811878366435,239.28690944162713,96.3922348452474,3.0
70.0,2015.0,316.2621502683823,3469.987258083439,424.6806225296864,2.0
70.0,2016.0,532.1286878083,6360.373032487022,503.0486011822678,5.0
90.0,2014.0,145.23060525779402,367.1431773370937,167.29522160863792,4.0
90.0,2015.0,2994.0390422534515,35844.93026305525,2789.087562169398,10.0
90.0,2016.0,634.9983315332425,6402.537630828445,250.57234014057383,6.0
