province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2010.0,538.8651642417155,4849.350039659387,821.7466756534452,4.0
10.0,2011.0,416.36615848307054,4330.25000216371,700.0343560657245,1.0
10.0,2012.0,518.8476486577968,3436.214893075948,1134.00227140661,4.0
10.0,2013.0,533.0325053167554,5582.646760063745,820.1571013705384,1.0
41.0,2010.0,96.46173499189652,761.4608672067386,225.26717339142715,0.0
41.0,2011.0,NaN,109.76431962340712,19.597644198280385,2.0
41.0,2012.0,NaN,214.56427083954574,47.691937157274,1.0
41.0,2013.0,NaN,581.4100413169986,173.07889287990434,0.0
50.0,2010.0,302.4876364572612,2067.309356137221,741.1527255214141,2.0
50.0,2011.0,9.528740226031339,69.2048627904532,12.59124299877417,0.0
50.0,2012.0,30.285382260390598,174.03830350500652,16.016727560385874,1.0
50.0,2013.0,266.1693712969776,2195.457291281172,572.9155413781472,0.0
70.0,2010.0,30.66864990949335,247.0084185556334,51.52390267961591,2.0
70.0,2011.0,64.8800142033479,686.7327489317084,108.70584118125265,2.0
70.0,2012.0,36.38693865452896,359.6207098950451,29.124255519723626,4.0
70.0,2013.0,24.948347667006903,162.0289728631352,25.05263831697428,2.0
90.0,2010.0,374.85117631918325,3606.8308374254602,673.0545204235705,5.0
90.0,2011.0,28.52059265222767,52.181710290223236,25.724738702508063,4.0
90.0,2012.0,143.29082748169571,1114.5823356422734,297.12917970626387,6.0
90.0,2013.0,318.07637943960344,2968.0615974655875,642.1920255858827,0.0
