province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2011.0,512.384546345158,5527.799999999999,823.6,0.0
10.0,2012.0,614.5467047465268,4988.233333333334,1337.9,5.0
10.0,2013.0,612.4619883140746,6614.166666666666,940.2666666666667,1.0
10.0,2014.0,112.65711126667497,664.628947368421,204.75,4.0
10.0,2015.0,1682.454947948087,13133.33,4566.64,3.0
10.0,2016.0,336.3958619618901,2065.15632183908,737.8,7.0
41.0,2011.0,NaN,1613.2000000000005,205.4,1.0
41.0,2012.0,NaN,1399.7666666666664,145.1,0.0
41.0,2013.0,NaN,1374.8333333333335,58.73333333333335,0.0
41.0,2014.0,NaN,1979.371052631579,232.25,1.0
41.0,2015.0,NaN,1965.67,245.36,1.0
41.0,2016.0,183.02507806797405,2055.84367816092,256.2,1.0
50.0,2011.0,128.72725689094236,1481.2000000000005,169.4,0.0
50.0,2012.0,106.85302513958827,1221.7666666666664,122.1,2.0
50.0,2013.0,178.12273676274978,444.1666666666665,387.26666666666665,0.0
50.0,2014.0,NaN,1839.371052631579,200.25,0.0
50.0,2015.0,NaN,1518.67,164.36,0.0
50.0,2016.0,125.97346724937812,1360.8436781609198,2.1999999999999886,0.0
70.0,2011.0,78.33628363238412,795.2000000000005,81.4,2.0
70.0,2012.0,102.2122632527979,1102.7666666666664,143.1,4.0
70.0,2013.0,151.2133092932213,1660.8333333333335,193.73333333333335,1.0
70.0,2014.0,142.17829700768195,1622.371052631579,182.25,4.0
70.0,2015.0,68.6823985821695,721.6700000000001,35.360000000000014,0.0
70.0,2016.0,184.40877643514983,2031.8436781609198,242.2,7.0
90.0,2011.0,112.4187410236093,1143.2000000000005,130.4,5.0
90.0,2012.0,108.87909749061282,80.76666666666642,143.9,6.0
90.0,2013.0,237.8266021394267,1407.1666666666665,441.26666666666665,1.0
90.0,2014.0,84.3485572189406,924.371052631579,41.25,0.0
90.0,2015.0,85.01634279164604,794.6700000000001,87.36000000000001,3.0
90.0,2016.0,393.7985263981556,2214.15632183908,952.8,3.0
