province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2007.0,8656.866831035755,16123.195228512905,14610.531509276527,6.0
10.0,2008.0,812.9936021798893,7837.8952474712305,832.9703961198472,9.0
10.0,2009.0,443.80937090322385,3825.337265916254,283.0776737468848,6.0
10.0,2010.0,965.6204490577427,8236.75945647035,430.592720556974,7.0
10.0,2011.0,453.7253713297042,1737.6828442469641,175.64433972798884,3.0
10.0,2012.0,697.9757634744743,3517.6958732598887,300.6863828406035,8.0
10.0,2013.0,771.9750470665139,6559.758957546148,635.9809738921138,5.0
10.0,2014.0,608.6522480734726,6142.3791266048465,650.4702874342233,8.0
10.0,2015.0,1644.4654286397881,9466.135366349363,3906.246353111105,8.0
10.0,2016.0,422.7185011656059,1366.7122450332317,184.02598175502385,2.0
41.0,2007.0,802.3716777296544,3015.3810807276836,1948.7190611977294,1.0
41.0,2008.0,86.05204802593795,947.3821221617729,99.93079088759245,5.0
41.0,2009.0,74.55742365908301,593.7168131915113,22.186728175757594,6.0
41.0,2010.0,103.47044595528956,446.6800858097074,171.92876980733195,5.0
41.0,2011.0,NaN,1167.0614018171223,166.11449227600056,7.0
41.0,2012.0,NaN,185.41524159264588,49.51494769524567,4.0
41.0,2013.0,NaN,1012.7820844366543,155.13878003752407,4.0
41.0,2014.0,NaN,1188.0008685370374,158.48231011149787,3.0
41.0,2015.0,NaN,335.42906496349417,82.733895959226,4.0
41.0,2016.0,41.62788840542134,232.4297237947636,42.50053461354753,0.0
50.0,2007.0,NaN,14929.56088118243,1736.5576261516437,6.0
50.0,2008.0,210.8432870546394,1216.1774957005966,288.84989468108495,7.0
50.0,2009.0,393.2933904354367,4499.334912811213,511.89006709741943,5.0
50.0,2010.0,432.810433436577,3069.088478910973,718.8900968586995,5.0
50.0,2011.0,158.72164281003697,1501.3711762590378,214.66320556418452,5.0
50.0,2012.0,158.43938804802843,883.4904713454732,245.48052400177744,6.0
50.0,2013.0,378.87547791155185,2956.7654073322333,496.544873559229,5.0
50.0,2014.0,NaN,2513.8064149033726,321.55204442766023,5.0
50.0,2015.0,NaN,1835.3585548168421,253.96676368668358,4.0
50.0,2016.0,173.1082361946287,1013.8823695485004,137.65835179045126,3.0
70.0,2007.0,464.4509824942831,5349.904366810594,571.4165703401721,6.0
70.0,2008.0,93.30963220177551,630.9693939111435,85.55039974416542,6.0
70.0,2009.0,228.17507500014273,2623.2994074620037,328.218894499877,4.0
70.0,2010.0,102.63432456461994,1014.0883772481095,67.62775295270818,6.0
70.0,2011.0,88.98805840864495,750.9584861486788,79.97406485533223,5.0
70.0,2012.0,45.37166010724871,137.33967030493034,49.20503520838565,7.0
70.0,2013.0,63.79621482906648,634.8047790869061,64.4434326789324,4.0
70.0,2014.0,45.407717824754606,74.48925375347477,27.457011741546324,9.0
70.0,2015.0,155.85192325777865,1341.4451031728497,187.56494775026397,6.0
70.0,2016.0,65.95071347358837,681.6420329454219,76.64088444529933,11.0
90.0,2007.0,349.22349929012415,3813.4405783837,330.0840297928264,6.0
90.0,2008.0,526.094446399409,5887.385252582668,724.3701937491253,4.0
90.0,2009.0,51.83177306722144,192.81659025181477,48.18589542249691,10.0
90.0,2010.0,357.59120228868625,3003.5810787406185,533.6257262062975,4.0
90.0,2011.0,334.8525506590722,3643.9097243110264,530.4756408369308,11.0
90.0,2012.0,181.80196948667114,9.246504111374406,18.042186122051476,11.0
90.0,2013.0,427.3905673177445,4579.010536745957,655.9881903387499,5.0
90.0,2014.0,433.58274921609177,5146.850257893463,419.3247493365245,5.0
90.0,2015.0,92.48250945461147,625.675444792038,24.56562566773198,10.0
90.0,2016.0,518.3765524766213,4164.179271050364,1107.3405988548434,8.0
