ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yearly,yearly_lower,yearly_upper,yhat
2014-05-31,186.1387057405193,186.0831076179432,186.21097573189377,-6.438508502837507,534.310655527941,82.15036249710802,82.15036249710802,82.15036249710802,82.15036249710802,82.15036249710802,82.15036249710802,82.15036249710802,82.15036249710802,82.15036249710802,268.2890682376273
2014-06-30,186.39349913465185,186.17625074630513,186.6358549775542,-35.13933727507154,528.2376564544358,62.48784053942025,62.48784053942025,62.48784053942025,62.48784053942025,62.48784053942025,62.48784053942025,62.48784053942025,62.48784053942025,62.48784053942025,248.88133967407208
2014-07-31,186.6567856419221,186.2156938971814,187.10564333800392,-47.76208212189215,488.6399042049463,38.32944865481697,38.32944865481697,38.32944865481697,38.32944865481697,38.32944865481697,38.32944865481697,38.32944865481697,38.32944865481697,38.32944865481697,224.9862342967391
2014-08-31,186.92007214919238,186.23527347926128,187.6062903808512,-64.6245855907049,473.0815566128425,25.145505415149398,25.145505415149398,25.145505415149398,25.145505415149398,25.145505415149398,25.145505415149398,25.145505415149398,25.145505415149398,25.145505415149398,212.06557756434177
2014-09-30,187.1748655433249,186.17093950474504,188.07051834628965,-74.97219481603842,446.74009171267056,-6.742256840877378,-6.742256840877378,-6.742256840877378,-6.742256840877378,-6.742256840877378,-6.742256840877378,-6.742256840877378,-6.742256840877378,-6.742256840877378,180.4326087024475
2014-10-31,187.4381520505952,186.04191899221627,188.58985909982044,-120.64320945828594,407.62150090852293,-31.52931276959211,-31.52931276959211,-31.52931276959211,-31.52931276959211,-31.52931276959211,-31.52931276959211,-31.52931276959211,-31.52931276959211,-31.52931276959211,155.90883928100308
2014-11-30,187.6929454447277,185.96248185694677,189.10684828787242,-121.96253768872955,420.34853345716004,-31.95784559286031,-31.95784559286031,-31.95784559286031,-31.95784559286031,-31.95784559286031,-31.95784559286031,-31.95784559286031,-31.95784559286031,-31.95784559286031,155.7350998518674
2014-12-31,187.956231951998,185.92376960532314,189.6412325843426,-102.78715457931412,433.03149288406615,-36.77678649543482,-36.77678649543482,-36.77678649543482,-36.77678649543482,-36.77678649543482,-36.77678649543482,-36.77678649543482,-36.77678649543482,-36.77678649543482,151.1794454565632
2015-01-31,188.21951845926827,185.88211548050046,190.25449348987667,-137.87592843349117,406.1861464541737,-45.45063471865039,-45.45063471865039,-45.45063471865039,-45.45063471865039,-45.45063471865039,-45.45063471865039,-45.45063471865039,-45.45063471865039,-45.45063471865039,142.76888374061787
2015-02-28,188.45732562712527,185.8482433723988,190.78122452842862,-122.8157246158585,420.8251609110323,-23.337439918824277,-23.337439918824277,-23.337439918824277,-23.337439918824277,-23.337439918824277,-23.337439918824277,-23.337439918824277,-23.337439918824277,-23.337439918824277,165.11988570830098
2015-03-31,188.72061213439557,185.6477547875983,191.41180259423618,-108.29171012287019,436.5151128776431,-33.011241795054794,-33.011241795054794,-33.011241795054794,-33.011241795054794,-33.011241795054794,-33.011241795054794,-33.011241795054794,-33.011241795054794,-33.011241795054794,155.70937033934078
2015-04-30,188.9754055285281,185.44346342603654,192.0990215853214,-73.09805259094009,474.099761438611,3.573219207190648,3.573219207190648,3.573219207190648,3.573219207190648,3.573219207190648,3.573219207190648,3.573219207190648,3.573219207190648,3.573219207190648,192.54862473571876
