province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2012.0,1469.0725913684246,16808.748014601624,2288.0996407348844,4.0
10.0,2013.0,542.0257983976722,5803.7861356433405,848.5706401550318,1.0
41.0,2012.0,NaN,161.3047590564523,37.150788207097904,1.0
41.0,2013.0,NaN,907.4946821120275,195.34288036971785,0.0
50.0,2012.0,56.900324639833315,557.591037161455,65.93669492654524,1.0
50.0,2013.0,268.67229147689056,2105.652392051561,582.7399651045963,0.0
70.0,2012.0,60.846862885694726,699.8414776535498,71.20625308113412,3.0
70.0,2013.0,18.388841453983666,26.22450909111751,16.615560644070243,2.0
90.0,2012.0,160.0772327018553,1449.1685743756996,325.5461458377409,0.0
90.0,2013.0,367.6281318347638,3866.1940376371253,691.1793080844677,5.0
