province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2013.0,27702.430454261772,332295.74363074347,26784.321202610285,4.0
10.0,2014.0,4517.92916383051,53937.003110078505,4918.430230521152,0.0
10.0,2015.0,1903.7690925960949,18030.92271298141,1127.677266787413,2.0
10.0,2016.0,427.5926536634521,3767.7434934754087,587.5196395054795,8.0
41.0,2013.0,NaN,4368.863368117809,284.6623797061365,0.0
41.0,2014.0,NaN,9789.489325384093,747.7274753794113,5.0
41.0,2015.0,NaN,3278.07455597482,229.45989419902892,1.0
41.0,2016.0,174.98318945624993,2082.2293074257796,202.12466537076384,0.0
50.0,2013.0,527.8512012067243,5961.450590220336,826.1955832221497,0.0
50.0,2014.0,NaN,4124.582912785506,392.79869940893377,1.0
50.0,2015.0,NaN,12909.86468882492,1003.3516717132537,3.0
50.0,2016.0,111.84808456325051,866.6377484732689,61.13278627261349,1.0
70.0,2013.0,46.53880853096367,131.12391786842738,61.426686437087426,0.0
70.0,2014.0,344.9144528652807,4026.3406977623335,533.0543831401186,5.0
70.0,2015.0,564.2668592466856,6684.483126575693,617.6878138042564,5.0
70.0,2016.0,149.20736693159503,1720.9250346557612,161.42660233004213,5.0
90.0,2013.0,285.70192917568806,2178.0270327237026,416.14308371099054,3.0
90.0,2014.0,2578.417898749758,30876.212469875903,2418.1210939526864,6.0
90.0,2015.0,696.9052882131973,8284.567462289462,761.1998002281964,6.0
90.0,2016.0,736.0683889841117,7604.792706301018,1413.2202373714838,6.0
